date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url
5/20/2023,35,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez & Em Beihold,93,176440,single,1,4/22/2022,FALSE,https://i.scdn.co/image/ab67616d0000b2732bf0876d42b90a8852ad6244
5/20/2023,36,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,95,214945,single,1,1/11/2023,FALSE,https://i.scdn.co/image/ab67616d0000b2732b6d78c5a3f6247aa997b812
5/20/2023,37,Moonlight,Kali Uchis,87,187723,album,15,3/3/2023,FALSE,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17
5/20/2023,38,Another Love,Tom Odell,63,244360,album,10,6/17/2013,TRUE,https://i.scdn.co/image/ab67616d0000b2731b51f809c31f0d98f67c0b7d
5/20/2023,39,Starboy,The Weeknd,93,230453,album,18,11/25/2016,TRUE,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452
5/20/2023,40,Unholy (feat. Kim Petras),Sam Smith,86,156943,album,13,1/27/2023,FALSE,https://i.scdn.co/image/ab67616d0000b273fc3ff54493fcc890bcaa036c
5/20/2023,41,Hey Mor,Ozuna,91,196600,album,18,10/7/2022,FALSE,https://i.scdn.co/image/ab67616d0000b273125624f2e04f5a1ccb0dfb45
5/20/2023,42,Cruel Summer,Taylor Swift,92,178426,album,18,8/23/2019,FALSE,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
5/20/2023,43,I Ain't Worried,OneRepublic,56,148120,album,18,2/15/2023,FALSE,https://i.scdn.co/image/ab67616d0000b273fedd3df3fa6f52c42fbb9e08
5/20/2023,44,La Bachata,Manuel Turizo,86,162637,album,15,3/17/2023,FALSE,https://i.scdn.co/image/ab67616d0000b2734dd99565ae6453deab7c26e1
5/20/2023,45,Por las Noches,Peso Pluma,93,239845,single,1,6/11/2021,FALSE,https://i.scdn.co/image/ab67616d0000b273427d9aa38866b43ed45f6b0c
5/20/2023,46,People,Libianca,92,184791,single,1,12/6/2022,FALSE,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735
5/20/2023,47,Yellow,Coldplay,91,266773,album,10,7/10/2000,FALSE,https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0
5/20/2023,48,Frágil,Yahritza Y Su Esencia & Grupo Frontera,90,160517,single,1,4/7/2023,FALSE,https://i.scdn.co/image/ab67616d0000b27357ed58cb724f8d55f78a1d4c
5/20/2023,49,Mockingbird,Eminem,92,250760,album,23,11/12/2004,TRUE,https://i.scdn.co/image/ab67616d0000b273726d48d93d02e1271774f023
5/20/2023,50,MATHEMATICAL DISRESPECT,Lil Mabu,85,88304,single,1,5/5/2023,TRUE,https://i.scdn.co/image/ab67616d0000b273a56e7dc625146a33a712bef4
5/21/2023,1,WHERE SHE GOES,Bad Bunny,82,231704,single,1,5/18/2023,TRUE,https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1
5/21/2023,2,Ella Baila Sola,Eslabon Armado,90,165671,album,16,4/28/2023,FALSE,https://i.scdn.co/image/ab67616d0000b273dfddf1cb31b85a6d28b7d91f
5/21/2023,3,un x100to,Grupo Frontera & Bad Bunny,100,194563,single,1,4/17/2023,FALSE,https://i.scdn.co/image/ab67616d0000b273716c0b0ad51594ff788b5f06
5/21/2023,4,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2,3/17/2023,TRUE,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9
5/21/2023,5,Cupid - Twin Ver.,FIFTY FIFTY,98,174253,single,3,2/24/2023,FALSE,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb
5/21/2023,6,Flowers,Miley Cyrus,91,200600,album,13,3/10/2023,FALSE,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46
5/21/2023,7,Say Yes To Heaven,Lana Del Rey,77,209156,single,2,5/19/2023,FALSE,https://i.scdn.co/image/ab67616d0000b273aa27708d07f49c82ff0d0dae
5/21/2023,8,Daylight,David Kushner,97,212953,single,1,4/14/2023,FALSE,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
